Pos_1_logP,Pos_2_logP,Pos_3_logP,Pos_4_logP,Pos_5_logP,Pos_6_logP,Pos_1_chirality,Pos_2_chirality,Pos_3_chirality,Pos_4_chirality,Pos_5_chirality,Pos_6_chirality,Pos_1_is_NSub,Pos_2_is_NSub,Pos_3_is_NSub,Pos_4_is_NSub,Pos_5_is_NSub,Pos_6_is_NSub
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.4443999999999999,0.641,0.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.8607999999999996,0.641,0.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.4443999999999999,0.641,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.4443999999999999,0.641,0.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.4443999999999999,0.641,0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.8607999999999996,-0.177,0.7051000000000001,0.641,0.0,1.0,0.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.8607999999999996,-0.177,0.4443999999999999,0.641,0.0,1.0,0.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.7051000000000001,0.8607999999999996,-0.177,0.7051000000000001,0.641,0.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.8607999999999996,-0.177,0.8607999999999996,0.641,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.8607999999999996,-0.177,0.4443999999999999,0.641,0.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.7051000000000001,0.8607999999999996,-0.177,0.7051000000000001,0.641,0.0,1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.8607999999999996,0.641,0.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.4443999999999999,0.641,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.4443999999999999,0.641,0.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.8607999999999996,0.641,0.0,1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.4443999999999999,0.641,0.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.4443999999999999,0.641,0.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0
1.0310999999999997,0.7051000000000001,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.7051000000000001,-0.177,0.4443999999999999,0.641,0.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.7051000000000001,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,1.0310999999999997,-0.177,0.8607999999999996,0.641,0.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,1.0310999999999997,-0.177,0.4443999999999999,0.641,0.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.7051000000000001,1.0310999999999997,-0.177,0.7051000000000001,0.641,0.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.8607999999999996,0.641,0.0,1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.4443999999999999,0.641,0.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.8607999999999996,0.641,0.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.4443999999999999,0.641,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.7051000000000001,-0.177,0.4443999999999999,0.641,0.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.7051000000000001,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.8607999999999996,-0.177,0.8607999999999996,0.641,0.0,1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.8607999999999996,-0.177,0.4443999999999999,0.641,0.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.8607999999999996,-0.177,0.4443999999999999,0.641,0.0,1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.8607999999999996,-0.177,0.7051000000000001,0.641,0.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.8607999999999996,-0.177,0.8607999999999996,0.641,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.8607999999999996,-0.177,0.4443999999999999,0.641,0.0,1.0,0.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.8607999999999996,0.641,0.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.4443999999999999,0.641,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.4443999999999999,0.641,0.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.8607999999999996,0.641,0.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.4443999999999999,0.641,0.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.4443999999999999,0.641,0.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.4443999999999999,0.641,0.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.4443999999999999,0.641,0.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.4443999999999999,0.641,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,1.0310999999999997,-0.177,0.8607999999999996,0.641,0.0,1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,1.0310999999999997,-0.177,0.4443999999999999,0.641,0.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,1.0310999999999997,-0.177,0.7051000000000001,0.641,0.0,1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,1.0310999999999997,-0.177,0.4443999999999999,0.641,0.0,1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,1.0310999999999997,-0.177,0.7051000000000001,0.641,0.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,1.0310999999999997,-0.177,0.8607999999999996,0.641,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,1.0310999999999997,-0.177,0.4443999999999999,0.641,0.0,1.0,0.0,1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,1.0310999999999997,-0.177,0.7051000000000001,0.641,0.0,1.0,0.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,1.0310999999999997,-0.177,0.4443999999999999,0.641,0.0,1.0,0.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,1.0310999999999997,-0.177,0.7051000000000001,0.641,0.0,1.0,0.0,1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.8607999999999996,0.641,0.0,1.0,1.0,-1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.4443999999999999,0.641,0.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.8607999999999996,0.641,0.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.4443999999999999,0.641,0.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.4443999999999999,-0.177,0.4443999999999999,0.641,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.8607999999999996,0.641,0.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.4443999999999999,0.641,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.4443999999999999,0.641,0.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.8607999999999996,0.641,0.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.4443999999999999,0.641,0.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.4443999999999999,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.8607999999999996,-0.177,0.8607999999999996,0.641,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.8607999999999996,-0.177,0.4443999999999999,0.641,0.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.7051000000000001,0.8607999999999996,-0.177,0.7051000000000001,0.641,0.0,-1.0,0.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.8607999999999996,-0.177,0.4443999999999999,0.641,0.0,-1.0,0.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.7051000000000001,0.8607999999999996,-0.177,0.7051000000000001,0.641,0.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.8607999999999996,-0.177,0.8607999999999996,0.641,0.0,-1.0,0.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.8607999999999996,-0.177,0.4443999999999999,0.641,0.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.7051000000000001,0.8607999999999996,-0.177,0.7051000000000001,0.641,0.0,-1.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.8607999999999996,-0.177,0.7051000000000001,0.641,0.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.8607999999999996,0.641,0.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.4443999999999999,0.641,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.4443999999999999,0.641,0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.7051000000000001,-0.177,0.8607999999999996,0.641,0.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,1.0310999999999997,-0.177,0.8607999999999996,0.641,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,1.0310999999999997,-0.177,0.4443999999999999,0.641,0.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0
1.0310999999999997,0.7051000000000001,1.0310999999999997,-0.177,0.7051000000000001,0.641,0.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,1.0310999999999997,-0.177,0.7051000000000001,0.641,0.0,-1.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.8607999999999996,0.641,0.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.8607999999999996,0.641,0.0,-1.0,1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.4443999999999999,-0.177,0.7051000000000001,0.641,0.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.7051000000000001,-0.177,0.8607999999999996,0.641,0.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0310999999999997,0.7051000000000001,0.7051000000000001,-0.177,0.7051000000000001,0.641,0.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.008,-0.177,0.4443999999999999,0.3149999999999997,-0.3211000000000002,-0.5802,1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
0.478,-0.177,0.4443999999999999,0.0543,-0.3211000000000002,-0.5802,1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
0.478,-0.177,0.4443999999999999,0.3149999999999997,-0.3211000000000002,-0.5802,1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
0.478,-0.177,0.0543,0.3149999999999997,-0.3211000000000002,-0.5802,1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
-0.5817999999999999,-0.5817999999999999,-0.3211000000000002,-0.5817999999999999,-0.3211000000000002,-0.5817999999999999,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0
-0.5817999999999999,0.8607999999999996,0.8607999999999996,-0.177,0.8607999999999996,0.641,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0
-0.5817999999999999,0.8607999999999996,0.8607999999999996,-0.177,0.8607999999999996,0.641,1.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0
-0.5817999999999999,0.8607999999999996,0.4443999999999999,-0.177,0.4443999999999999,0.641,1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0
-0.5817999999999999,0.8607999999999996,0.4443999999999999,-0.177,0.4443999999999999,0.641,1.0,0.0,-1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0
-0.5817999999999999,0.8607999999999996,0.7051000000000001,-0.177,0.7051000000000001,0.641,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0
-0.5817999999999999,0.8607999999999996,0.7051000000000001,-0.177,0.7051000000000001,0.641,1.0,0.0,1.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0
-0.5817999999999999,0.8607999999999996,1.0310999999999997,-0.177,0.8607999999999996,0.641,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0
-0.5817999999999999,0.8607999999999996,1.0310999999999997,-0.177,0.4443999999999999,0.641,1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0
-0.5817999999999999,0.8607999999999996,1.0310999999999997,-0.177,0.4443999999999999,0.641,1.0,0.0,0.0,-1.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0
-0.5817999999999999,0.8607999999999996,1.0310999999999997,-0.177,0.7051000000000001,0.641,1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0
-0.5817999999999999,0.8607999999999996,1.0310999999999997,-0.177,0.7051000000000001,0.641,1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0
-0.5817999999999999,0.8607999999999996,0.4443999999999999,-0.177,0.4443999999999999,0.641,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0
-0.5817999999999999,0.8607999999999996,0.4443999999999999,-0.177,0.4443999999999999,0.641,1.0,0.0,1.0,1.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0
-0.5817999999999999,0.8607999999999996,0.7051000000000001,-0.177,0.7051000000000001,0.641,1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0
-0.5817999999999999,0.8607999999999996,0.7051000000000001,-0.177,0.7051000000000001,0.641,1.0,0.0,-1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0
-0.5817999999999999,-0.9703,0.641,0.4443999999999999,-0.177,0.3466,1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.5817999999999999,-0.9703,0.641,0.4443999999999999,0.4443999999999999,0.3466,1.0,0.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5817999999999999,-0.9703,0.641,0.4443999999999999,-0.177,0.3466,1.0,0.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
